Solar generation [kW/kWp]
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.015
0.019
0.039
0.033
0.033
0.008
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.093
0.443
0.604
0.341
0.023
0.155
0.075
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.017
0.008
0.018
0.011
0.006
0.002
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.187
0.426
0.275
0.33
0.108
0.066
0.019
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.002
0.08
0.57
0.474
0.232
0.173
0.01
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.032
0.038
0.119
0.41
0.036
0.162
0.018
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.301
0.495
0.568
0.376
0.342
0.306
0.098
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.302
0.394
0.522
0.095
0.423
0.328
0.103
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.039
0.045
0.043
0.015
0.118
0.141
0.012
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.06
0.06
0.049
0.006
0.015
0.003
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.151
0.027
0.088
0.045
0.081
0.052
0.049
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.051
0.099
0.391
0.053
0.019
0.063
0.173
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.263
0.273
0.501
0.602
0.044
0.111
0.076
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.078
0.11
0.135
0.104
0.079
0.163
0.041
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
