"MTU (CET/CEST)","Area","Sequence","Day-ahead Price [EUR/MWh]","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|NL","Without sequence","40.63","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|NL","Without sequence","68.3","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|NL","Without sequence","75.9","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|NL","Without sequence","73.2","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|NL","Without sequence","69.2","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|NL","Without sequence","60.0","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|NL","Without sequence","58.86","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|NL","Without sequence","60.86","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|NL","Without sequence","76.0","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|NL","Without sequence","79.0","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|NL","Without sequence","101.0","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|NL","Without sequence","114.6","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|NL","Without sequence","100.0","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|NL","Without sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|NL","Without sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|NL","Without sequence","65.0","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|NL","Without sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|NL","Without sequence","57.3","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|NL","Without sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|NL","Without sequence","40.0","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|NL","Without sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|NL","Without sequence","35.0","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|NL","Without sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|NL","Without sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|NL","Without sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|NL","Without sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|NL","Without sequence","94.2","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|NL","Without sequence","91.61","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|NL","Without sequence","90.03","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|NL","Without sequence","86.28","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|NL","Without sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|NL","Without sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|NL","Without sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|NL","Without sequence","104.45","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|NL","Without sequence","130.21","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|NL","Without sequence","140.67","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|NL","Without sequence","123.1","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|NL","Without sequence","101.65","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|NL","Without sequence","96.77","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|NL","Without sequence","93.04","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|NL","Without sequence","88.61","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|NL","Without sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|NL","Without sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|NL","Without sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|NL","Without sequence","72.88","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|NL","Without sequence","72.12","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|NL","Without sequence","74.52","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|NL","Without sequence","80.11","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|NL","Without sequence","87.17","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|NL","Without sequence","89.78","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|NL","Without sequence","95.0","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|NL","Without sequence","96.29","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|NL","Without sequence","98.22","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|NL","Without sequence","92.29","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|NL","Without sequence","91.65","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|NL","Without sequence","96.5","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|NL","Without sequence","100.13","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|NL","Without sequence","103.03","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|NL","Without sequence","107.43","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|NL","Without sequence","108.47","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|NL","Without sequence","104.0","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|NL","Without sequence","100.13","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|NL","Without sequence","94.21","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|NL","Without sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|NL","Without sequence","86.8","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|NL","Without sequence","82.25","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|NL","Without sequence","80.2","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|NL","Without sequence","76.13","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|NL","Without sequence","73.01","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|NL","Without sequence","73.01","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|NL","Without sequence","74.59","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|NL","Without sequence","75.1","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|NL","Without sequence","81.39","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|NL","Without sequence","88.4","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|NL","Without sequence","92.23","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|NL","Without sequence","97.3","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|NL","Without sequence","100.43","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|NL","Without sequence","99.16","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|NL","Without sequence","94.52","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|NL","Without sequence","92.45","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|NL","Without sequence","94.18","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|NL","Without sequence","99.22","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|NL","Without sequence","104.69","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|NL","Without sequence","103.63","",""
