"MTU (CET/CEST)","Area","Sequence","Day-ahead Price [EUR/MWh]","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"21/03/2024 17:00:00 - 21/03/2024 18:00:00","BZN|NL","Without sequence","91.97","",""
"21/03/2024 18:00:00 - 21/03/2024 19:00:00","BZN|NL","Without sequence","121.01","",""
"21/03/2024 19:00:00 - 21/03/2024 20:00:00","BZN|NL","Without sequence","120.69","",""
"21/03/2024 20:00:00 - 21/03/2024 21:00:00","BZN|NL","Without sequence","93.08","",""
"21/03/2024 21:00:00 - 21/03/2024 22:00:00","BZN|NL","Without sequence","76.27","",""
"21/03/2024 22:00:00 - 21/03/2024 23:00:00","BZN|NL","Without sequence","72.45","",""
"21/03/2024 23:00:00 - 22/03/2024 00:00:00","BZN|NL","Without sequence","64.91","",""
"22/03/2024 00:00:00 - 22/03/2024 01:00:00","BZN|NL","Without sequence","52.39","",""
"22/03/2024 01:00:00 - 22/03/2024 02:00:00","BZN|NL","Without sequence","48.96","",""
"22/03/2024 02:00:00 - 22/03/2024 03:00:00","BZN|NL","Without sequence","46.3","",""
"22/03/2024 03:00:00 - 22/03/2024 04:00:00","BZN|NL","Without sequence","46.06","",""
"22/03/2024 04:00:00 - 22/03/2024 05:00:00","BZN|NL","Without sequence","45.4","",""
"22/03/2024 05:00:00 - 22/03/2024 06:00:00","BZN|NL","Without sequence","51.25","",""
"22/03/2024 06:00:00 - 22/03/2024 07:00:00","BZN|NL","Without sequence","63.6","",""
"22/03/2024 07:00:00 - 22/03/2024 08:00:00","BZN|NL","Without sequence","64.27","",""
"22/03/2024 08:00:00 - 22/03/2024 09:00:00","BZN|NL","Without sequence","66.65","",""
"22/03/2024 09:00:00 - 22/03/2024 10:00:00","BZN|NL","Without sequence","57.48","",""
"22/03/2024 10:00:00 - 22/03/2024 11:00:00","BZN|NL","Without sequence","63.9","",""
"22/03/2024 11:00:00 - 22/03/2024 12:00:00","BZN|NL","Without sequence","55.0","",""
"22/03/2024 12:00:00 - 22/03/2024 13:00:00","BZN|NL","Without sequence","52.0","",""
"22/03/2024 13:00:00 - 22/03/2024 14:00:00","BZN|NL","Without sequence","58.68","",""
"22/03/2024 14:00:00 - 22/03/2024 15:00:00","BZN|NL","Without sequence","59.17","",""
"22/03/2024 15:00:00 - 22/03/2024 16:00:00","BZN|NL","Without sequence","66.0","",""
"22/03/2024 16:00:00 - 22/03/2024 17:00:00","BZN|NL","Without sequence","75.04","",""
"22/03/2024 17:00:00 - 22/03/2024 18:00:00","BZN|NL","Without sequence","87.38","",""
"22/03/2024 18:00:00 - 22/03/2024 19:00:00","BZN|NL","Without sequence","111.9","",""
"22/03/2024 19:00:00 - 22/03/2024 20:00:00","BZN|NL","Without sequence","112.18","",""
"22/03/2024 20:00:00 - 22/03/2024 21:00:00","BZN|NL","Without sequence","94.81","",""
"22/03/2024 21:00:00 - 22/03/2024 22:00:00","BZN|NL","Without sequence","74.64","",""
"22/03/2024 22:00:00 - 22/03/2024 23:00:00","BZN|NL","Without sequence","73.2","",""
"22/03/2024 23:00:00 - 23/03/2024 00:00:00","BZN|NL","Without sequence","69.84","",""
"23/03/2024 00:00:00 - 23/03/2024 01:00:00","BZN|NL","Without sequence","70.88","",""
"23/03/2024 01:00:00 - 23/03/2024 02:00:00","BZN|NL","Without sequence","66.14","",""
"23/03/2024 02:00:00 - 23/03/2024 03:00:00","BZN|NL","Without sequence","56.46","",""
"23/03/2024 03:00:00 - 23/03/2024 04:00:00","BZN|NL","Without sequence","49.99","",""
"23/03/2024 04:00:00 - 23/03/2024 05:00:00","BZN|NL","Without sequence","52.11","",""
"23/03/2024 05:00:00 - 23/03/2024 06:00:00","BZN|NL","Without sequence","51.94","",""
"23/03/2024 06:00:00 - 23/03/2024 07:00:00","BZN|NL","Without sequence","47.87","",""
"23/03/2024 07:00:00 - 23/03/2024 08:00:00","BZN|NL","Without sequence","43.48","",""
"23/03/2024 08:00:00 - 23/03/2024 09:00:00","BZN|NL","Without sequence","34.59","",""
"23/03/2024 09:00:00 - 23/03/2024 10:00:00","BZN|NL","Without sequence","11.19","",""
"23/03/2024 10:00:00 - 23/03/2024 11:00:00","BZN|NL","Without sequence","0.0","",""
"23/03/2024 11:00:00 - 23/03/2024 12:00:00","BZN|NL","Without sequence","-0.1","",""
"23/03/2024 12:00:00 - 23/03/2024 13:00:00","BZN|NL","Without sequence","-5.01","",""
"23/03/2024 13:00:00 - 23/03/2024 14:00:00","BZN|NL","Without sequence","-10.0","",""
"23/03/2024 14:00:00 - 23/03/2024 15:00:00","BZN|NL","Without sequence","-9.44","",""
"23/03/2024 15:00:00 - 23/03/2024 16:00:00","BZN|NL","Without sequence","-2.98","",""
"23/03/2024 16:00:00 - 23/03/2024 17:00:00","BZN|NL","Without sequence","-2.36","",""
"23/03/2024 17:00:00 - 23/03/2024 18:00:00","BZN|NL","Without sequence","37.68","",""
"23/03/2024 18:00:00 - 23/03/2024 19:00:00","BZN|NL","Without sequence","62.02","",""
"23/03/2024 19:00:00 - 23/03/2024 20:00:00","BZN|NL","Without sequence","67.2","",""
"23/03/2024 20:00:00 - 23/03/2024 21:00:00","BZN|NL","Without sequence","52.94","",""
"23/03/2024 21:00:00 - 23/03/2024 22:00:00","BZN|NL","Without sequence","45.84","",""
"23/03/2024 22:00:00 - 23/03/2024 23:00:00","BZN|NL","Without sequence","38.52","",""
"23/03/2024 23:00:00 - 24/03/2024 00:00:00","BZN|NL","Without sequence","27.5","",""
"24/03/2024 00:00:00 - 24/03/2024 01:00:00","BZN|NL","Without sequence","27.17","",""
"24/03/2024 01:00:00 - 24/03/2024 02:00:00","BZN|NL","Without sequence","11.67","",""
"24/03/2024 02:00:00 - 24/03/2024 03:00:00","BZN|NL","Without sequence","8.3","",""
"24/03/2024 03:00:00 - 24/03/2024 04:00:00","BZN|NL","Without sequence","13.47","",""
"24/03/2024 04:00:00 - 24/03/2024 05:00:00","BZN|NL","Without sequence","14.91","",""
"24/03/2024 05:00:00 - 24/03/2024 06:00:00","BZN|NL","Without sequence","17.18","",""
"24/03/2024 06:00:00 - 24/03/2024 07:00:00","BZN|NL","Without sequence","11.41","",""
"24/03/2024 07:00:00 - 24/03/2024 08:00:00","BZN|NL","Without sequence","1.19","",""
"24/03/2024 08:00:00 - 24/03/2024 09:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 09:00:00 - 24/03/2024 10:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 10:00:00 - 24/03/2024 11:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 11:00:00 - 24/03/2024 12:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 12:00:00 - 24/03/2024 13:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 13:00:00 - 24/03/2024 14:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 14:00:00 - 24/03/2024 15:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 15:00:00 - 24/03/2024 16:00:00","BZN|NL","Without sequence","0.0","",""
"24/03/2024 16:00:00 - 24/03/2024 17:00:00","BZN|NL","Without sequence","11.6","",""
"24/03/2024 17:00:00 - 24/03/2024 18:00:00","BZN|NL","Without sequence","50.0","",""
"24/03/2024 18:00:00 - 24/03/2024 19:00:00","BZN|NL","Without sequence","71.57","",""
"24/03/2024 19:00:00 - 24/03/2024 20:00:00","BZN|NL","Without sequence","76.34","",""
"24/03/2024 20:00:00 - 24/03/2024 21:00:00","BZN|NL","Without sequence","67.11","",""
"24/03/2024 21:00:00 - 24/03/2024 22:00:00","BZN|NL","Without sequence","64.97","",""
"24/03/2024 22:00:00 - 24/03/2024 23:00:00","BZN|NL","Without sequence","64.47","",""
"24/03/2024 23:00:00 - 25/03/2024 00:00:00","BZN|NL","Without sequence","64.0","",""
"25/03/2024 00:00:00 - 25/03/2024 01:00:00","BZN|NL","Without sequence","62.9","",""
"25/03/2024 01:00:00 - 25/03/2024 02:00:00","BZN|NL","Without sequence","65.1","",""
"25/03/2024 02:00:00 - 25/03/2024 03:00:00","BZN|NL","Without sequence","70.0","",""
"25/03/2024 03:00:00 - 25/03/2024 04:00:00","BZN|NL","Without sequence","73.1","",""
"25/03/2024 04:00:00 - 25/03/2024 05:00:00","BZN|NL","Without sequence","67.03","",""
"25/03/2024 05:00:00 - 25/03/2024 06:00:00","BZN|NL","Without sequence","77.14","",""
"25/03/2024 06:00:00 - 25/03/2024 07:00:00","BZN|NL","Without sequence","87.77","",""
"25/03/2024 07:00:00 - 25/03/2024 08:00:00","BZN|NL","Without sequence","113.87","",""
"25/03/2024 08:00:00 - 25/03/2024 09:00:00","BZN|NL","Without sequence","99.68","",""
"25/03/2024 09:00:00 - 25/03/2024 10:00:00","BZN|NL","Without sequence","74.15","",""
"25/03/2024 10:00:00 - 25/03/2024 11:00:00","BZN|NL","Without sequence","66.96","",""
"25/03/2024 11:00:00 - 25/03/2024 12:00:00","BZN|NL","Without sequence","60.95","",""
"25/03/2024 12:00:00 - 25/03/2024 13:00:00","BZN|NL","Without sequence","59.11","",""
"25/03/2024 13:00:00 - 25/03/2024 14:00:00","BZN|NL","Without sequence","59.3","",""
"25/03/2024 14:00:00 - 25/03/2024 15:00:00","BZN|NL","Without sequence","61.04","",""
"25/03/2024 15:00:00 - 25/03/2024 16:00:00","BZN|NL","Without sequence","68.84","",""
"25/03/2024 16:00:00 - 25/03/2024 17:00:00","BZN|NL","Without sequence","74.5","",""
"25/03/2024 17:00:00 - 25/03/2024 18:00:00","BZN|NL","Without sequence","98.7","",""
"25/03/2024 18:00:00 - 25/03/2024 19:00:00","BZN|NL","Without sequence","155.0","",""
"25/03/2024 19:00:00 - 25/03/2024 20:00:00","BZN|NL","Without sequence","138.0","",""
"25/03/2024 20:00:00 - 25/03/2024 21:00:00","BZN|NL","Without sequence","86.9","",""
"25/03/2024 21:00:00 - 25/03/2024 22:00:00","BZN|NL","Without sequence","70.38","",""
"25/03/2024 22:00:00 - 25/03/2024 23:00:00","BZN|NL","Without sequence","70.4","",""
"25/03/2024 23:00:00 - 26/03/2024 00:00:00","BZN|NL","Without sequence","68.77","",""
"26/03/2024 00:00:00 - 26/03/2024 01:00:00","BZN|NL","Without sequence","73.0","",""
"26/03/2024 01:00:00 - 26/03/2024 02:00:00","BZN|NL","Without sequence","65.8","",""
"26/03/2024 02:00:00 - 26/03/2024 03:00:00","BZN|NL","Without sequence","64.3","",""
"26/03/2024 03:00:00 - 26/03/2024 04:00:00","BZN|NL","Without sequence","66.0","",""
"26/03/2024 04:00:00 - 26/03/2024 05:00:00","BZN|NL","Without sequence","64.04","",""
"26/03/2024 05:00:00 - 26/03/2024 06:00:00","BZN|NL","Without sequence","67.27","",""
"26/03/2024 06:00:00 - 26/03/2024 07:00:00","BZN|NL","Without sequence","75.33","",""
"26/03/2024 07:00:00 - 26/03/2024 08:00:00","BZN|NL","Without sequence","79.2","",""
"26/03/2024 08:00:00 - 26/03/2024 09:00:00","BZN|NL","Without sequence","72.1","",""
"26/03/2024 09:00:00 - 26/03/2024 10:00:00","BZN|NL","Without sequence","62.0","",""
"26/03/2024 10:00:00 - 26/03/2024 11:00:00","BZN|NL","Without sequence","49.5","",""
"26/03/2024 11:00:00 - 26/03/2024 12:00:00","BZN|NL","Without sequence","37.03","",""
"26/03/2024 12:00:00 - 26/03/2024 13:00:00","BZN|NL","Without sequence","13.48","",""
"26/03/2024 13:00:00 - 26/03/2024 14:00:00","BZN|NL","Without sequence","27.62","",""
"26/03/2024 14:00:00 - 26/03/2024 15:00:00","BZN|NL","Without sequence","37.1","",""
"26/03/2024 15:00:00 - 26/03/2024 16:00:00","BZN|NL","Without sequence","51.93","",""
"26/03/2024 16:00:00 - 26/03/2024 17:00:00","BZN|NL","Without sequence","74.05","",""
"26/03/2024 17:00:00 - 26/03/2024 18:00:00","BZN|NL","Without sequence","106.7","",""
"26/03/2024 18:00:00 - 26/03/2024 19:00:00","BZN|NL","Without sequence","116.0","",""
"26/03/2024 19:00:00 - 26/03/2024 20:00:00","BZN|NL","Without sequence","100.3","",""
"26/03/2024 20:00:00 - 26/03/2024 21:00:00","BZN|NL","Without sequence","80.0","",""
"26/03/2024 21:00:00 - 26/03/2024 22:00:00","BZN|NL","Without sequence","82.2","",""
"26/03/2024 22:00:00 - 26/03/2024 23:00:00","BZN|NL","Without sequence","74.4","",""
"26/03/2024 23:00:00 - 27/03/2024 00:00:00","BZN|NL","Without sequence","66.92","",""
"27/03/2024 00:00:00 - 27/03/2024 01:00:00","BZN|NL","Without sequence","58.35","",""
"27/03/2024 01:00:00 - 27/03/2024 02:00:00","BZN|NL","Without sequence","57.09","",""
"27/03/2024 02:00:00 - 27/03/2024 03:00:00","BZN|NL","Without sequence","57.28","",""
"27/03/2024 03:00:00 - 27/03/2024 04:00:00","BZN|NL","Without sequence","55.59","",""
"27/03/2024 04:00:00 - 27/03/2024 05:00:00","BZN|NL","Without sequence","56.87","",""
"27/03/2024 05:00:00 - 27/03/2024 06:00:00","BZN|NL","Without sequence","64.52","",""
"27/03/2024 06:00:00 - 27/03/2024 07:00:00","BZN|NL","Without sequence","78.78","",""
"27/03/2024 07:00:00 - 27/03/2024 08:00:00","BZN|NL","Without sequence","82.77","",""
"27/03/2024 08:00:00 - 27/03/2024 09:00:00","BZN|NL","Without sequence","79.83","",""
"27/03/2024 09:00:00 - 27/03/2024 10:00:00","BZN|NL","Without sequence","68.33","",""
"27/03/2024 10:00:00 - 27/03/2024 11:00:00","BZN|NL","Without sequence","63.94","",""
"27/03/2024 11:00:00 - 27/03/2024 12:00:00","BZN|NL","Without sequence","58.14","",""
"27/03/2024 12:00:00 - 27/03/2024 13:00:00","BZN|NL","Without sequence","57.66","",""
"27/03/2024 13:00:00 - 27/03/2024 14:00:00","BZN|NL","Without sequence","59.54","",""
"27/03/2024 14:00:00 - 27/03/2024 15:00:00","BZN|NL","Without sequence","61.45","",""
"27/03/2024 15:00:00 - 27/03/2024 16:00:00","BZN|NL","Without sequence","73.9","",""
"27/03/2024 16:00:00 - 27/03/2024 17:00:00","BZN|NL","Without sequence","76.0","",""
"27/03/2024 17:00:00 - 27/03/2024 18:00:00","BZN|NL","Without sequence","94.44","",""
"27/03/2024 18:00:00 - 27/03/2024 19:00:00","BZN|NL","Without sequence","120.42","",""
"27/03/2024 19:00:00 - 27/03/2024 20:00:00","BZN|NL","Without sequence","116.88","",""
"27/03/2024 20:00:00 - 27/03/2024 21:00:00","BZN|NL","Without sequence","97.23","",""
"27/03/2024 21:00:00 - 27/03/2024 22:00:00","BZN|NL","Without sequence","79.35","",""
"27/03/2024 22:00:00 - 27/03/2024 23:00:00","BZN|NL","Without sequence","79.47","",""
"27/03/2024 23:00:00 - 28/03/2024 00:00:00","BZN|NL","Without sequence","74.0","",""
"28/03/2024 00:00:00 - 28/03/2024 01:00:00","BZN|NL","Without sequence","74.51","",""
"28/03/2024 01:00:00 - 28/03/2024 02:00:00","BZN|NL","Without sequence","62.19","",""
"28/03/2024 02:00:00 - 28/03/2024 03:00:00","BZN|NL","Without sequence","57.27","",""
"28/03/2024 03:00:00 - 28/03/2024 04:00:00","BZN|NL","Without sequence","55.79","",""
"28/03/2024 04:00:00 - 28/03/2024 05:00:00","BZN|NL","Without sequence","55.5","",""
"28/03/2024 05:00:00 - 28/03/2024 06:00:00","BZN|NL","Without sequence","57.52","",""
"28/03/2024 06:00:00 - 28/03/2024 07:00:00","BZN|NL","Without sequence","68.99","",""
"28/03/2024 07:00:00 - 28/03/2024 08:00:00","BZN|NL","Without sequence","76.05","",""
"28/03/2024 08:00:00 - 28/03/2024 09:00:00","BZN|NL","Without sequence","73.03","",""
"28/03/2024 09:00:00 - 28/03/2024 10:00:00","BZN|NL","Without sequence","58.09","",""
"28/03/2024 10:00:00 - 28/03/2024 11:00:00","BZN|NL","Without sequence","40.1","",""
"28/03/2024 11:00:00 - 28/03/2024 12:00:00","BZN|NL","Without sequence","31.36","",""
"28/03/2024 12:00:00 - 28/03/2024 13:00:00","BZN|NL","Without sequence","6.73","",""
"28/03/2024 13:00:00 - 28/03/2024 14:00:00","BZN|NL","Without sequence","0.05","",""
"28/03/2024 14:00:00 - 28/03/2024 15:00:00","BZN|NL","Without sequence","0.0","",""
"28/03/2024 15:00:00 - 28/03/2024 16:00:00","BZN|NL","Without sequence","8.66","",""
"28/03/2024 16:00:00 - 28/03/2024 17:00:00","BZN|NL","Without sequence","27.18","",""
"28/03/2024 17:00:00 - 28/03/2024 18:00:00","BZN|NL","Without sequence","43.09","",""
"28/03/2024 18:00:00 - 28/03/2024 19:00:00","BZN|NL","Without sequence","63.68","",""
"28/03/2024 19:00:00 - 28/03/2024 20:00:00","BZN|NL","Without sequence","68.09","",""
"28/03/2024 20:00:00 - 28/03/2024 21:00:00","BZN|NL","Without sequence","56.81","",""
"28/03/2024 21:00:00 - 28/03/2024 22:00:00","BZN|NL","Without sequence","44.89","",""
"28/03/2024 22:00:00 - 28/03/2024 23:00:00","BZN|NL","Without sequence","32.76","",""
"28/03/2024 23:00:00 - 29/03/2024 00:00:00","BZN|NL","Without sequence","25.0","",""
"29/03/2024 00:00:00 - 29/03/2024 01:00:00","BZN|NL","Without sequence","20.6","",""
"29/03/2024 01:00:00 - 29/03/2024 02:00:00","BZN|NL","Without sequence","18.83","",""
"29/03/2024 02:00:00 - 29/03/2024 03:00:00","BZN|NL","Without sequence","12.43","",""
"29/03/2024 03:00:00 - 29/03/2024 04:00:00","BZN|NL","Without sequence","10.24","",""
"29/03/2024 04:00:00 - 29/03/2024 05:00:00","BZN|NL","Without sequence","12.59","",""
"29/03/2024 05:00:00 - 29/03/2024 06:00:00","BZN|NL","Without sequence","14.32","",""
"29/03/2024 06:00:00 - 29/03/2024 07:00:00","BZN|NL","Without sequence","22.02","",""
"29/03/2024 07:00:00 - 29/03/2024 08:00:00","BZN|NL","Without sequence","54.9","",""
"29/03/2024 08:00:00 - 29/03/2024 09:00:00","BZN|NL","Without sequence","79.3","",""
"29/03/2024 09:00:00 - 29/03/2024 10:00:00","BZN|NL","Without sequence","63.6","",""
"29/03/2024 10:00:00 - 29/03/2024 11:00:00","BZN|NL","Without sequence","29.9","",""
"29/03/2024 11:00:00 - 29/03/2024 12:00:00","BZN|NL","Without sequence","18.81","",""
"29/03/2024 12:00:00 - 29/03/2024 13:00:00","BZN|NL","Without sequence","12.99","",""
"29/03/2024 13:00:00 - 29/03/2024 14:00:00","BZN|NL","Without sequence","9.86","",""
"29/03/2024 14:00:00 - 29/03/2024 15:00:00","BZN|NL","Without sequence","13.44","",""
"29/03/2024 15:00:00 - 29/03/2024 16:00:00","BZN|NL","Without sequence","21.14","",""
"29/03/2024 16:00:00 - 29/03/2024 17:00:00","BZN|NL","Without sequence","43.87","",""
"29/03/2024 17:00:00 - 29/03/2024 18:00:00","BZN|NL","Without sequence","75.44","",""
"29/03/2024 18:00:00 - 29/03/2024 19:00:00","BZN|NL","Without sequence","101.62","",""
"29/03/2024 19:00:00 - 29/03/2024 20:00:00","BZN|NL","Without sequence","108.0","",""
"29/03/2024 20:00:00 - 29/03/2024 21:00:00","BZN|NL","Without sequence","87.4","",""
"29/03/2024 21:00:00 - 29/03/2024 22:00:00","BZN|NL","Without sequence","79.9","",""
"29/03/2024 22:00:00 - 29/03/2024 23:00:00","BZN|NL","Without sequence","75.89","",""
"29/03/2024 23:00:00 - 30/03/2024 00:00:00","BZN|NL","Without sequence","70.0","",""
"30/03/2024 00:00:00 - 30/03/2024 01:00:00","BZN|NL","Without sequence","69.3","",""
"30/03/2024 01:00:00 - 30/03/2024 02:00:00","BZN|NL","Without sequence","58.16","",""
"30/03/2024 02:00:00 - 30/03/2024 03:00:00","BZN|NL","Without sequence","68.11","",""
"30/03/2024 03:00:00 - 30/03/2024 04:00:00","BZN|NL","Without sequence","65.8","",""
"30/03/2024 04:00:00 - 30/03/2024 05:00:00","BZN|NL","Without sequence","84.0","",""
"30/03/2024 05:00:00 - 30/03/2024 06:00:00","BZN|NL","Without sequence","65.05","",""
"30/03/2024 06:00:00 - 30/03/2024 07:00:00","BZN|NL","Without sequence","69.89","",""
"30/03/2024 07:00:00 - 30/03/2024 08:00:00","BZN|NL","Without sequence","72.62","",""
"30/03/2024 08:00:00 - 30/03/2024 09:00:00","BZN|NL","Without sequence","50.0","",""
"30/03/2024 09:00:00 - 30/03/2024 10:00:00","BZN|NL","Without sequence","54.39","",""
"30/03/2024 10:00:00 - 30/03/2024 11:00:00","BZN|NL","Without sequence","36.15","",""
"30/03/2024 11:00:00 - 30/03/2024 12:00:00","BZN|NL","Without sequence","25.0","",""
"30/03/2024 12:00:00 - 30/03/2024 13:00:00","BZN|NL","Without sequence","25.74","",""
"30/03/2024 13:00:00 - 30/03/2024 14:00:00","BZN|NL","Without sequence","13.15","",""
"30/03/2024 14:00:00 - 30/03/2024 15:00:00","BZN|NL","Without sequence","15.87","",""
"30/03/2024 15:00:00 - 30/03/2024 16:00:00","BZN|NL","Without sequence","37.05","",""
"30/03/2024 16:00:00 - 30/03/2024 17:00:00","BZN|NL","Without sequence","52.52","",""
"30/03/2024 17:00:00 - 30/03/2024 18:00:00","BZN|NL","Without sequence","79.2","",""
"30/03/2024 18:00:00 - 30/03/2024 19:00:00","BZN|NL","Without sequence","101.3","",""
"30/03/2024 19:00:00 - 30/03/2024 20:00:00","BZN|NL","Without sequence","130.0","",""
"30/03/2024 20:00:00 - 30/03/2024 21:00:00","BZN|NL","Without sequence","111.6","",""
"30/03/2024 21:00:00 - 30/03/2024 22:00:00","BZN|NL","Without sequence","80.8","",""
"30/03/2024 22:00:00 - 30/03/2024 23:00:00","BZN|NL","Without sequence","70.83","",""
"30/03/2024 23:00:00 - 31/03/2024 00:00:00","BZN|NL","Without sequence","65.74","",""
"31/03/2024 00:00:00 - 31/03/2024 01:00:00 (CET)","BZN|NL","Without sequence","81.81","",""
"31/03/2024 01:00:00 (CET) - 31/03/2024 03:00:00 (CEST)","BZN|NL","Without sequence","74.57","",""
"31/03/2024 03:00:00 (CEST) - 31/03/2024 04:00:00","BZN|NL","Without sequence","64.98","",""
"31/03/2024 04:00:00 - 31/03/2024 05:00:00","BZN|NL","Without sequence","65.68","",""
"31/03/2024 05:00:00 - 31/03/2024 06:00:00","BZN|NL","Without sequence","61.74","",""
"31/03/2024 06:00:00 - 31/03/2024 07:00:00","BZN|NL","Without sequence","68.75","",""
"31/03/2024 07:00:00 - 31/03/2024 08:00:00","BZN|NL","Without sequence","74.02","",""
"31/03/2024 08:00:00 - 31/03/2024 09:00:00","BZN|NL","Without sequence","70.74","",""
"31/03/2024 09:00:00 - 31/03/2024 10:00:00","BZN|NL","Without sequence","50.39","",""
"31/03/2024 10:00:00 - 31/03/2024 11:00:00","BZN|NL","Without sequence","40.0","",""
"31/03/2024 11:00:00 - 31/03/2024 12:00:00","BZN|NL","Without sequence","27.84","",""
"31/03/2024 12:00:00 - 31/03/2024 13:00:00","BZN|NL","Without sequence","18.68","",""
"31/03/2024 13:00:00 - 31/03/2024 14:00:00","BZN|NL","Without sequence","2.81","",""
"31/03/2024 14:00:00 - 31/03/2024 15:00:00","BZN|NL","Without sequence","0.97","",""
"31/03/2024 15:00:00 - 31/03/2024 16:00:00","BZN|NL","Without sequence","14.83","",""
"31/03/2024 16:00:00 - 31/03/2024 17:00:00","BZN|NL","Without sequence","41.07","",""
"31/03/2024 17:00:00 - 31/03/2024 18:00:00","BZN|NL","Without sequence","66.74","",""
"31/03/2024 18:00:00 - 31/03/2024 19:00:00","BZN|NL","Without sequence","86.8","",""
"31/03/2024 19:00:00 - 31/03/2024 20:00:00","BZN|NL","Without sequence","118.04","",""
"31/03/2024 20:00:00 - 31/03/2024 21:00:00","BZN|NL","Without sequence","83.72","",""
"31/03/2024 21:00:00 - 31/03/2024 22:00:00","BZN|NL","Without sequence","65.2","",""
"31/03/2024 22:00:00 - 31/03/2024 23:00:00","BZN|NL","Without sequence","60.55","",""
"31/03/2024 23:00:00 - 01/04/2024 00:00:00","BZN|NL","Without sequence","54.9","",""
"01/04/2024 00:00:00 - 01/04/2024 01:00:00","BZN|NL","Without sequence","51.03","",""
"01/04/2024 01:00:00 - 01/04/2024 02:00:00","BZN|NL","Without sequence","48.98","",""
"01/04/2024 02:00:00 - 01/04/2024 03:00:00","BZN|NL","Without sequence","45.1","",""
"01/04/2024 03:00:00 - 01/04/2024 04:00:00","BZN|NL","Without sequence","43.54","",""
"01/04/2024 04:00:00 - 01/04/2024 05:00:00","BZN|NL","Without sequence","46.56","",""
"01/04/2024 05:00:00 - 01/04/2024 06:00:00","BZN|NL","Without sequence","52.35","",""
"01/04/2024 06:00:00 - 01/04/2024 07:00:00","BZN|NL","Without sequence","55.26","",""
"01/04/2024 07:00:00 - 01/04/2024 08:00:00","BZN|NL","Without sequence","59.51","",""
"01/04/2024 08:00:00 - 01/04/2024 09:00:00","BZN|NL","Without sequence","58.71","",""
"01/04/2024 09:00:00 - 01/04/2024 10:00:00","BZN|NL","Without sequence","60.89","",""
"01/04/2024 10:00:00 - 01/04/2024 11:00:00","BZN|NL","Without sequence","52.96","",""
"01/04/2024 11:00:00 - 01/04/2024 12:00:00","BZN|NL","Without sequence","48.23","",""
"01/04/2024 12:00:00 - 01/04/2024 13:00:00","BZN|NL","Without sequence","48.75","",""
"01/04/2024 13:00:00 - 01/04/2024 14:00:00","BZN|NL","Without sequence","0.03","",""
"01/04/2024 14:00:00 - 01/04/2024 15:00:00","BZN|NL","Without sequence","-0.01","",""
"01/04/2024 15:00:00 - 01/04/2024 16:00:00","BZN|NL","Without sequence","-0.01","",""
"01/04/2024 16:00:00 - 01/04/2024 17:00:00","BZN|NL","Without sequence","-0.01","",""
"01/04/2024 17:00:00 - 01/04/2024 18:00:00","BZN|NL","Without sequence","5.79","",""
"01/04/2024 18:00:00 - 01/04/2024 19:00:00","BZN|NL","Without sequence","53.0","",""
"01/04/2024 19:00:00 - 01/04/2024 20:00:00","BZN|NL","Without sequence","90.0","",""
"01/04/2024 20:00:00 - 01/04/2024 21:00:00","BZN|NL","Without sequence","79.89","",""
"01/04/2024 21:00:00 - 01/04/2024 22:00:00","BZN|NL","Without sequence","55.96","",""
"01/04/2024 22:00:00 - 01/04/2024 23:00:00","BZN|NL","Without sequence","41.0","",""
"01/04/2024 23:00:00 - 02/04/2024 00:00:00","BZN|NL","Without sequence","29.63","",""
"02/04/2024 00:00:00 - 02/04/2024 01:00:00","BZN|NL","Without sequence","46.13","",""
"02/04/2024 01:00:00 - 02/04/2024 02:00:00","BZN|NL","Without sequence","36.33","",""
"02/04/2024 02:00:00 - 02/04/2024 03:00:00","BZN|NL","Without sequence","16.46","",""
"02/04/2024 03:00:00 - 02/04/2024 04:00:00","BZN|NL","Without sequence","7.54","",""
"02/04/2024 04:00:00 - 02/04/2024 05:00:00","BZN|NL","Without sequence","1.94","",""
"02/04/2024 05:00:00 - 02/04/2024 06:00:00","BZN|NL","Without sequence","7.27","",""
"02/04/2024 06:00:00 - 02/04/2024 07:00:00","BZN|NL","Without sequence","51.32","",""
"02/04/2024 07:00:00 - 02/04/2024 08:00:00","BZN|NL","Without sequence","70.98","",""
"02/04/2024 08:00:00 - 02/04/2024 09:00:00","BZN|NL","Without sequence","68.93","",""
"02/04/2024 09:00:00 - 02/04/2024 10:00:00","BZN|NL","Without sequence","55.17","",""
"02/04/2024 10:00:00 - 02/04/2024 11:00:00","BZN|NL","Without sequence","30.1","",""
"02/04/2024 11:00:00 - 02/04/2024 12:00:00","BZN|NL","Without sequence","24.91","",""
"02/04/2024 12:00:00 - 02/04/2024 13:00:00","BZN|NL","Without sequence","5.0","",""
